,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')",LinearRegression(),Performance,0.1,"CompressionMethod       1.135050e+16
mtOff                   7.269047e+15
BlockSize_4             2.967870e+15
BZip2                   2.451850e+15
LZMA2                   2.451850e+15
LZMA                    2.451850e+15
Deflate                 2.451850e+15
PPMd                    2.451850e+15
Files_20                2.400765e+15
Files_70                2.400765e+15
root                    2.026593e+15
HeaderCompressionOff    1.950058e+15
filterOff               1.950058e+15
Files                   1.534472e+15
BlockSize_1             1.121955e+15
BlockSize_16            1.121955e+15
BlockSize_128           1.121955e+15
BlockSize_64            1.121955e+15
BlockSize_32            1.121955e+15
BlockSize_8             1.121955e+15
tmOff                   9.696664e+14
Files_90                7.784572e+14
Files_30                5.105776e+14
Files_50                1.970981e+14
Files_40                1.912092e+14
Files_10                1.912092e+14
Files_0                 1.912092e+14
x_4                     1.563246e+14
x_2                     1.563246e+14
x_0                     1.563246e+14
x_8                     1.563246e+14
Files_60                4.000000e+00
dtype: float64","count    4.000000e+00
mean     4.481782e+11
std      8.963565e+11
min      9.708738e-01
25%      1.067349e+01
50%      3.043041e+01
75%      4.481782e+11
max      1.792713e+12
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.1,"x_8                     1.694551e+04
BZip2                   3.400273e+03
PPMd                    6.917705e+02
LZMA2                   3.767088e+02
x_4                     1.135975e+02
filterOff               7.516269e+01
BlockSize_8             2.985531e+01
HeaderCompressionOff    2.617789e-14
dtype: float64","count     4.000000
mean     22.949768
std      29.085662
min       3.628258
25%       5.129228
50%      11.236837
75%      29.057377
max      65.697138
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')",Ridge(alpha=0.01),Performance,0.1,"x_8                     13047.203330
x_4                      4881.545522
x_2                      4416.566646
x_0                      3749.091162
BZip2                    2984.126106
PPMd                     1449.007627
Deflate                   971.989005
HeaderCompressionOff      515.636806
filterOff                 515.636806
LZMA                      510.812710
Files_20                  269.726736
BlockSize_8               264.822256
Files_70                  257.446918
BlockSize_1               186.747199
Files_40                  186.375751
BlockSize_16              172.095974
BlockSize_32              118.920280
Files_90                  108.731091
tmOff                      96.451274
Files_0                    75.144529
LZMA2                      52.316765
BlockSize_128              40.094627
Files_10                   14.779948
BlockSize_4                12.279818
mtOff                      12.279818
BlockSize_64                2.915446
dtype: float64","count     4.000000
mean     20.576223
std      19.644066
min       0.833892
25%      10.858828
50%      16.970018
75%      26.687413
max      47.530965
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=100)",Performance,0.1,"x_8                     1.694551e+04
BZip2                   3.400273e+03
PPMd                    6.917705e+02
LZMA2                   3.767088e+02
x_4                     1.135975e+02
filterOff               7.516269e+01
BlockSize_8             2.985531e+01
HeaderCompressionOff    2.617789e-14
dtype: float64","count     4.000000
mean     22.949768
std      29.085662
min       3.628258
25%       5.129228
50%      11.236837
75%      29.057377
max      65.697138
Name: % error, dtype: float64"
4,LinearRegression,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')",LinearRegression(),Performance,0.2,"x_8                     1.315430e+04
x_4                     4.863336e+03
x_2                     4.360421e+03
x_0                     3.930546e+03
BZip2                   3.437450e+03
Deflate                 1.726863e+03
PPMd                    1.322945e+03
LZMA                    4.501619e+02
Files_70                3.820445e+02
BlockSize_16            3.498282e+02
mtOff                   3.160989e+02
BlockSize_4             3.160989e+02
HeaderCompressionOff    2.611139e+02
filterOff               2.611139e+02
Files_40                2.208103e+02
tmOff                   1.795165e+02
Files_90                1.365824e+02
BlockSize_128           1.237730e+02
BlockSize_8             1.209178e+02
BlockSize_64            8.377297e+01
Files_20                6.594561e+01
LZMA2                   6.251896e+01
Files_0                 5.064692e+01
BlockSize_32            4.756747e+01
Files_10                9.353077e+00
BlockSize_1             5.331351e+00
CompressionMethod       3.183231e-12
Files                   9.094947e-13
root                    4.547474e-13
Files_30                4.547474e-13
Files_50                2.131628e-13
dtype: float64","count     8.000000
mean     20.753021
std      17.298215
min       0.344284
25%      11.399433
50%      15.445764
75%      24.162865
max      54.554440
Name: % error, dtype: float64"
5,Lasso,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.2,"x_8                     1.703842e+04
BZip2                   3.581791e+03
PPMd                    6.802419e+02
LZMA2                   4.123246e+02
x_4                     1.895055e+02
filterOff               1.423390e+02
Deflate                 9.922579e+01
BlockSize_16            3.169179e+01
HeaderCompressionOff    4.518323e-14
dtype: float64","count     8.000000
mean     14.910808
std      21.341686
min       0.197416
25%       5.502947
50%       6.983706
75%      14.200816
max      66.381659
Name: % error, dtype: float64"
6,Ridge,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')",Ridge(alpha=0.02),Performance,0.2,"x_8                     13043.712848
x_4                      4830.399423
x_2                      4314.895321
x_0                      3898.418104
BZip2                    3387.892753
Deflate                  1675.515212
PPMd                     1333.275380
LZMA                      431.241546
Files_70                  388.265117
BlockSize_4               309.297608
mtOff                     309.297608
filterOff                 278.654384
HeaderCompressionOff      278.654384
BlockSize_16              276.868579
Files_40                  225.168426
tmOff                     199.776531
BlockSize_8               147.656099
Files_90                  109.521077
BlockSize_128              95.582183
Files_20                   78.967509
BlockSize_64               57.469676
BlockSize_32               53.600516
LZMA2                      52.139385
Files_0                    42.013436
Files_10                   16.621541
BlockSize_1                15.775728
dtype: float64","count     8.000000
mean     20.271294
std      17.189021
min       0.891807
25%      10.090519
50%      14.686414
75%      24.682819
max      51.912561
Name: % error, dtype: float64"
7,ElasticNet,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=100)",Performance,0.2,"x_8                     1.703842e+04
BZip2                   3.581791e+03
PPMd                    6.802419e+02
LZMA2                   4.123246e+02
x_4                     1.895055e+02
filterOff               1.423390e+02
Deflate                 9.922579e+01
BlockSize_16            3.169179e+01
HeaderCompressionOff    4.518323e-14
dtype: float64","count     8.000000
mean     14.910808
std      21.341686
min       0.197416
25%       5.502947
50%       6.983706
75%      14.200816
max      66.381659
Name: % error, dtype: float64"
8,LinearRegression,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')",LinearRegression(),Performance,0.3,"x_8                     1.389241e+04
x_4                     4.890380e+03
x_2                     4.721417e+03
x_0                     4.280614e+03
BZip2                   3.279278e+03
Deflate                 1.687319e+03
PPMd                    1.499871e+03
Files_70                1.930551e+02
BlockSize_8             1.902685e+02
tmOff                   1.875167e+02
HeaderCompressionOff    1.863023e+02
filterOff               1.863023e+02
mtOff                   1.733198e+02
BlockSize_4             1.733198e+02
LZMA                    1.719873e+02
Files_40                1.121599e+02
BlockSize_16            1.001749e+02
BlockSize_1             9.620870e+01
LZMA2                   7.990035e+01
Files_10                6.767839e+01
BlockSize_128           2.647124e+01
Files_20                1.973524e+01
Files_90                1.419688e+01
BlockSize_64            1.352876e+01
Files_0                 7.678395e+00
BlockSize_32            3.998788e-02
Files                   9.094947e-13
root                    4.547474e-13
CompressionMethod       2.273737e-13
Files_100               4.038968e-28
BlockSize_2             2.019484e-28
BlockSize               1.009742e-28
dtype: float64","count    12.000000
mean     12.613447
std      11.738967
min       1.903287
25%       5.265175
50%      10.760062
75%      14.215896
max      45.138585
Name: % error, dtype: float64"
9,Lasso,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.3,"x_8        18069.714085
BZip2       3426.675434
PPMd         955.440823
Deflate      554.379761
LZMA2        270.926046
x_4           10.494740
dtype: float64","count    12.000000
mean     11.773993
std      20.081017
min       0.256863
25%       1.487691
50%       3.494498
75%      13.182368
max      71.470345
Name: % error, dtype: float64"
