,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",LinearRegression(),Performance,0.1,"gvn            22.959441
instcombine    14.068733
inline         10.599028
dtype: float64","count    158.000000
mean       1.491311
std        1.547824
min        0.000614
25%        0.505129
50%        1.010855
75%        1.799436
max        7.473794
Name: % error, dtype: float64",3
1,Lasso,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')","Lasso(alpha=0.1, max_iter=1)",Performance,0.1,"gvn            19.471944
instcombine    15.181472
inline          9.397950
dtype: float64","count    158.000000
mean       1.743528
std        1.547606
min        0.017131
25%        0.743715
50%        1.495972
75%        2.255491
max        8.562522
Name: % error, dtype: float64",3
2,Ridge,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",Ridge(alpha=0.2),Performance,0.1,"gvn            21.764391
instcombine    13.300386
inline         10.027138
dtype: float64","count    158.000000
mean       1.599588
std        1.524839
min        0.033413
25%        0.606351
50%        1.291869
75%        2.074470
max        7.748723
Name: % error, dtype: float64",3
3,ElasticNet,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0, max_iter=1)",Performance,0.1,"gvn            19.106423
instcombine    14.908494
inline          9.397829
dtype: float64","count    158.000000
mean       1.798105
std        1.545709
min        0.026506
25%        0.768417
50%        1.563205
75%        2.345333
max        8.606423
Name: % error, dtype: float64",3
4,PolynomialRegression,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",LinearRegression(),Performance,0.1,"gvn            10.518997
instcombine     7.475565
inline          5.495282
dtype: float64","count    158.000000
mean       1.489406
std        1.538640
min        0.006343
25%        0.458271
50%        0.992003
75%        1.986789
max        7.124752
Name: % error, dtype: float64",3
5,RandomForest,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",RandomForestRegressor(),Performance,0.1,"gvn           NaN
instcombine   NaN
inline        NaN
Name: % error, dtype: float64","count    158.000000
mean       1.833852
std        1.529450
min        0.043263
25%        0.727401
50%        1.557898
75%        2.458085
max        7.347762
Name: % error, dtype: float64",3
6,GradientBoostingTree,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"gvn           NaN
instcombine   NaN
inline        NaN
Name: % error, dtype: float64","count    158.000000
mean       1.487390
std        1.547347
min        0.004713
25%        0.467665
50%        0.932651
75%        1.942396
max        7.229366
Name: % error, dtype: float64",3
7,DecisionTree,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"gvn           NaN
instcombine   NaN
inline        NaN
Name: % error, dtype: float64","count    158.000000
mean       1.487365
std        1.547358
min        0.004612
25%        0.467645
50%        0.932395
75%        1.942314
max        7.229219
Name: % error, dtype: float64",3
8,LinearRegression,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",LinearRegression(),Performance,0.2,"gvn            23.673933
instcombine    13.245017
inline         10.179339
dtype: float64","count    140.000000
mean       1.510193
std        1.516852
min        0.050991
25%        0.473714
50%        1.078064
75%        1.828138
max        7.220446
Name: % error, dtype: float64",3
9,Lasso,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')","Lasso(alpha=0.01, max_iter=5)",Performance,0.2,"gvn            23.633809
instcombine    13.205085
inline         10.143112
dtype: float64","count    140.000000
mean       1.514430
std        1.514779
min        0.024839
25%        0.479022
50%        1.093334
75%        1.835691
max        7.230906
Name: % error, dtype: float64",3
10,Ridge,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",Ridge(alpha=0.02),Performance,0.2,"gvn            23.619481
instcombine    13.214865
inline         10.158622
dtype: float64","count    140.000000
mean       1.514465
std        1.515078
min        0.027065
25%        0.482233
50%        1.094468
75%        1.835919
max        7.232525
Name: % error, dtype: float64",3
11,ElasticNet,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=5)",Performance,0.2,"gvn            23.633809
instcombine    13.205085
inline         10.143112
dtype: float64","count    140.000000
mean       1.514430
std        1.514779
min        0.024839
25%        0.479022
50%        1.093334
75%        1.835691
max        7.230906
Name: % error, dtype: float64",3
12,PolynomialRegression,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",LinearRegression(),Performance,0.2,"gvn            11.399125
instcombine     8.219610
inline          5.420065
dtype: float64","count    140.000000
mean       1.372088
std        1.379704
min        0.012387
25%        0.456322
50%        0.953797
75%        1.704854
max        6.731546
Name: % error, dtype: float64",3
13,RandomForest,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",RandomForestRegressor(),Performance,0.2,"gvn           NaN
instcombine   NaN
inline        NaN
Name: % error, dtype: float64","count    140.000000
mean       1.506150
std        1.401894
min        0.014283
25%        0.644823
50%        1.130569
75%        1.948398
max        6.740856
Name: % error, dtype: float64",3
14,GradientBoostingTree,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"gvn           NaN
instcombine   NaN
inline        NaN
Name: % error, dtype: float64","count    140.000000
mean       1.416371
std        1.394265
min        0.001149
25%        0.529779
50%        1.020037
75%        1.817872
max        6.546201
Name: % error, dtype: float64",3
15,DecisionTree,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"gvn           NaN
instcombine   NaN
inline        NaN
Name: % error, dtype: float64","count    140.000000
mean       1.416345
std        1.394263
min        0.001363
25%        0.529790
50%        1.020184
75%        1.817688
max        6.546038
Name: % error, dtype: float64",3
16,LinearRegression,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')",LinearRegression(),Performance,0.3,"gvn            24.403044
instcombine    14.635232
inline          9.873415
dtype: float64","count    123.000000
mean       1.348455
std        1.484154
min        0.008327
25%        0.441431
50%        0.883079
75%        1.466046
max        7.008295
Name: % error, dtype: float64",3
17,Lasso,False,DecisionTree,"Index(['gvn', 'instcombine', 'inline'], dtype='object')","Lasso(alpha=0.01, max_iter=5)",Performance,0.3,"gvn            24.363311
instcombine    14.590898
inline          9.834867
dtype: float64","count    123.000000
mean       1.351038
std        1.481399
min        0.018969
25%        0.435349
50%        0.877813
75%        1.493743
max        7.016943
Name: % error, dtype: float64",3
